antecedents,consequents,support,confidence,leverage,lift,antecedent_len
"frozenset({'arm pain', 'paresthesia'})",frozenset({'loss of sensation'}),0.004432161007511794,0.5018723729461214,0.004059192974618598,11.883487636006068,2
"frozenset({'abusing alcohol', 'depression'})",frozenset({'depressive or psychotic symptoms'}),0.005055781651784811,0.5074515648286141,0.00444733344418848,8.309304865499774,2
frozenset({'increased heart rate'}),frozenset({'shortness of breath'}),0.006653978281263709,0.5140786317655647,0.005534185800976002,5.942153031384985,1
frozenset({'increased heart rate'}),frozenset({'irregular heartbeat'}),0.006631031201279637,0.5123057670247159,0.006307126956757208,20.47219606849104,1
frozenset({'increased heart rate'}),frozenset({'sharp chest pain'}),0.006695822956528782,0.5173115027635833,0.005436293373501424,5.316129963724197,1
frozenset({'palpitations'}),frozenset({'shortness of breath'}),0.01251763213131129,0.5039124055860458,0.010368550786568911,5.824643242069481,1
frozenset({'arm pain'}),frozenset({'leg pain'}),0.01494799786727139,0.31668501651486336,0.01185701479065845,4.836001199867847,1
frozenset({'loss of sensation'}),frozenset({'arm pain'}),0.012981298129812982,0.30737514982021574,0.010987850264589335,6.51198275925646,1
"frozenset({'arm pain', 'loss of sensation'})",frozenset({'back pain'}),0.004922823570700628,0.37922429031922633,0.003777717948757357,4.299012664304696,2
"frozenset({'arm pain', 'loss of sensation'})",frozenset({'low back pain'}),0.004198640722968002,0.32343766247270456,0.0036174098826122396,7.223706024267529,2
"frozenset({'arm pain', 'loss of sensation'})",frozenset({'leg pain'}),0.00485060776016252,0.3736612249142144,0.004000528853495472,5.706067662801529,2
"frozenset({'arm pain', 'loss of sensation'})",frozenset({'neck pain'}),0.0047048263108519445,0.3624311115732557,0.004167112655706641,8.749687246794176,2
frozenset({'paresthesia'}),frozenset({'loss of sensation'}),0.011687487767181625,0.44141112895414336,0.010569267752016708,10.451867797642597,1
frozenset({'paresthesia'}),frozenset({'arm pain'}),0.008831251223281837,0.3335372537024292,0.007581471707491364,7.066247375398977,1
frozenset({'paresthesia'}),frozenset({'leg pain'}),0.008788731633899587,0.33193138079579926,0.007054851755171556,5.068823822067175,1
frozenset({'paresthesia'}),frozenset({'neck pain'}),0.008358811341256826,0.31569422140654074,0.007262053287549568,7.621381318333973,1
frozenset({'paresthesia'}),frozenset({'back pain'}),0.009467020321664068,0.35754887716346767,0.007131383498618604,4.053292972714785,1
frozenset({'paresthesia'}),frozenset({'low back pain'}),0.00824677559780518,0.3114628737478015,0.007061256875854628,6.956259268716256,1
"frozenset({'arm pain', 'loss of sensation'})",frozenset({'paresthesia'}),0.004432161007511794,0.34142664032442543,0.004088447962818513,12.894945583071841,2
"frozenset({'loss of sensation', 'paresthesia'})",frozenset({'arm pain'}),0.004432161007511794,0.379222729110123,0.003880494420502958,8.034129874609947,2
"frozenset({'arm pain', 'paresthesia'})",frozenset({'back pain'}),0.004053534187774606,0.45899885364921666,0.0032745122961697548,5.203363642867575,2
"frozenset({'loss of sensation', 'paresthesia'})",frozenset({'leg pain'}),0.004011014598392354,0.3431887740370734,0.003245660723652141,5.240732072799432,2
"frozenset({'arm pain', 'paresthesia'})",frozenset({'leg pain'}),0.0035082035810943056,0.39724875811998467,0.0029298900480934573,6.066265755342715,2
"frozenset({'loss of sensation', 'paresthesia'})",frozenset({'neck pain'}),0.004124400170078358,0.3528902234798176,0.003640278959401888,8.5193544077841,2
"frozenset({'arm pain', 'paresthesia'})",frozenset({'neck pain'}),0.003880756173776887,0.43943446694688576,0.003514946504567347,10.608675768911791,2
"frozenset({'loss of sensation', 'paresthesia'})",frozenset({'back pain'}),0.004332948632286541,0.3707339608477219,0.003301972545399174,4.202763465996773,2
"frozenset({'loss of sensation', 'paresthesia'})",frozenset({'low back pain'}),0.0036600592574594884,0.3131604781428654,0.0031367581000070217,6.9941738238787385,2
"frozenset({'arm pain', 'paresthesia'})",frozenset({'low back pain'}),0.003492680556399198,0.3954910202521972,0.0030972658976669972,8.832956693101899,2
frozenset({'leg weakness'}),frozenset({'loss of sensation'}),0.0046859287155709434,0.48508349053308175,0.004277958409510545,11.48595534028208,1
frozenset({'leg weakness'}),frozenset({'paresthesia'}),0.0038686077196676723,0.4004750925731852,0.0036128333197147284,15.125077882616077,1
frozenset({'leg weakness'}),frozenset({'problems with movement'}),0.003732949982114776,0.38643191504226926,0.0033862974663619776,10.768564520607093,1
frozenset({'leg weakness'}),frozenset({'leg pain'}),0.0038699575479020296,0.40061482568294554,0.00323737049418853,6.117667956029249,1
frozenset({'arm weakness'}),frozenset({'arm pain'}),0.003356347904729123,0.5557045479941893,0.0030712601708755647,11.773035126278657,1
frozenset({'arm weakness'}),frozenset({'loss of sensation'}),0.0030992056260840807,0.5131299586545983,0.002844127985552082,12.150048195601418,1
frozenset({'arm weakness'}),frozenset({'paresthesia'}),0.003056011122584651,0.5059783216001789,0.002896091811107051,19.10970660358739,1
frozenset({'sweating'}),frozenset({'shortness of breath'}),0.004667706034407122,0.308584686774942,0.003359082138891005,3.5668812486158936,1
frozenset({'fainting'}),frozenset({'dizziness'}),0.009881417589611722,0.3506658363671201,0.007905176101510859,5.000106337767254,1
frozenset({'wrist pain'}),frozenset({'hand or finger pain'}),0.007858699980427491,0.3968778758648898,0.007310020186859486,14.322925816755927,1
frozenset({'wrist pain'}),frozenset({'arm pain'}),0.006218658675683519,0.3140529670404581,0.005284007985826602,6.653457535708359,1
frozenset({'ankle pain'}),frozenset({'foot or toe pain'}),0.006072202312255765,0.375,0.0056077379384597646,13.073558823529412,1
frozenset({'ankle pain'}),frozenset({'wrist pain'}),0.004964668245965701,0.3066022007335779,0.004644034828017445,15.483938878657092,1
frozenset({'ankle pain'}),frozenset({'hand or finger pain'}),0.005335196096296746,0.32948482827609205,0.004886512582636309,11.89077809605995,1
frozenset({'ankle pain'}),frozenset({'knee pain'}),0.0071885102620691515,0.4439396465488496,0.006662113662242517,13.656072749019742,1
frozenset({'ankle pain'}),frozenset({'leg pain'}),0.0059966119311317635,0.3703317772590864,0.0049362452300422445,5.655224673662697,1
frozenset({'foot or toe swelling'}),frozenset({'foot or toe pain'}),0.006743741858848461,0.39247417416237873,0.006250877633587025,13.682757873674628,1
frozenset({'knee swelling'}),frozenset({'knee pain'}),0.007408532264269372,0.48187006145741884,0.006908727556698068,14.822854110897786,1
frozenset({'knee swelling'}),frozenset({'leg swelling'}),0.004671080604993014,0.30381913959613693,0.004298720027601932,12.54450897493126,1
frozenset({'knee swelling'}),frozenset({'ankle pain'}),0.004658257236766622,0.3029850746268657,0.004409304332411965,18.711399446581698,1
frozenset({'knee swelling'}),frozenset({'leg pain'}),0.0059446435441090125,0.38665496049165937,0.004937843216882469,5.90449107270839,1
frozenset({'hand or finger swelling'}),frozenset({'hand or finger pain'}),0.007129792733874614,0.3659668814522275,0.006589958693139278,13.207378927350982,1
