antecedents,consequents,support,confidence,leverage,lift,antecedent_len
frozenset({'warts'}),frozenset({'skin swelling'}),0.006193011939230733,0.5231172681147027,0.005463517222635995,8.48945413633638,1
frozenset({'warts'}),frozenset({'abnormal appearing skin'}),0.006081651109896266,0.5137107348497806,0.005295930168540551,7.74021766481461,1
frozenset({'skin moles'}),frozenset({'abnormal appearing skin'}),0.01331200604723049,0.5165920222099998,0.011601749433474003,7.783630795609896,1
frozenset({'skin moles'}),frozenset({'skin swelling'}),0.01339299574129192,0.5197349467012389,0.011805125165252716,8.4345638387604,1
frozenset({'warts'}),frozenset({'acne or pimples'}),0.00537164145862439,0.45373695912433726,0.00498580826728109,13.922186009769447,1
frozenset({'warts'}),"frozenset({'skin dryness, peeling, scaliness, or roughness'})",0.004485479222768903,0.3788837580525626,0.004109202172510458,11.92068243250038,1
frozenset({'warts'}),frozenset({'skin rash'}),0.0038071905350044208,0.32158941907530925,0.00321184134740102,6.394886588038188,1
frozenset({'warts'}),frozenset({'skin lesion'}),0.005842731512415046,0.49352944529958387,0.005251497218338987,9.882260841356755,1
frozenset({'warts'}),frozenset({'irregular appearing scalp'}),0.005597737687879217,0.472835072116755,0.005212272040423797,14.522014412520623,1
frozenset({'warts'}),frozenset({'skin irritation'}),0.0038206888173479923,0.3227296049256028,0.0035886647529975585,16.466778254420536,1
frozenset({'warts'}),frozenset({'itching of skin'}),0.005160393339947491,0.4358930505672424,0.004664376883085665,10.403673645419001,1
frozenset({'warts'}),frozenset({'skin moles'}),0.004201340379436717,0.35488284590388236,0.00389627096241258,13.771752083245735,1
frozenset({'warts'}),frozenset({'skin growth'}),0.004208089520608502,0.3554529388290291,0.0037131277549031986,8.501847641932743,1
frozenset({'skin moles'}),frozenset({'irregular appearing scalp'}),0.010564430676196454,0.40996830884471336,0.009725398472474008,12.591210002817952,1
frozenset({'skin moles'}),frozenset({'skin growth'}),0.011493112501434193,0.446007176344255,0.010415743185181174,10.667755548678587,1
frozenset({'skin moles'}),frozenset({'acne or pimples'}),0.008995255353756235,0.34907414682695587,0.008155423127618699,10.710776597757164,1
frozenset({'skin moles'}),frozenset({'skin lesion'}),0.01241302044314861,0.4817055603572458,0.011126097429516662,9.645503508493979,1
frozenset({'skin moles'}),"frozenset({'skin dryness, peeling, scaliness, or roughness'})",0.009292892479431993,0.36062439433225957,0.008473860836086821,11.346194686052684,1
frozenset({'skin moles'}),frozenset({'itching of skin'}),0.008300093813062287,0.32209737827715357,0.00722042878031379,7.687656413149538,1
